id_from,relation,id_to
rc-017,triggers,rf-003
rc-023,triggers,rf-004
rc-033,triggers,rf-009
rc-007,triggers,rf-012
rc-027,leads_from,rc-021
rc-027,triggers,rf-002
rc-013,triggers,rf-002
rc-013,leads_to,rc-006
rc-013,leads_to,rc-014
rc-003,triggers,rf-001
rc-003,triggers,rf-004
rc-003,triggers,rf-007
rc-037,triggers,rf-010
rc-037,triggers,rf-011
rc-026,leads_from,rc-020
rc-026,leads_from,rc-021
rc-026,triggers,rf-002
rc-012,triggers,rf-003
rc-002,triggers,rf-005
rc-002,triggers,rf-008
rc-036,triggers,rf-010
rc-036,triggers,rc-011
rc-016,triggers,rf-008
rc-022,leads_from,rc-201
rc-022,triggers,rf-001
rc-022,leads_to,rc-202
rc-032,triggers,rf-009
rc-006,leads_from,rc-013
rc-006,triggers,rf-001
rc-006,triggers,rf-012
rc-029,triggers,rf-005
rc-039,triggers,rf-010
rc-039,triggers,rf-011
rc-019,triggers,rf-006
rc-009,leads_from,rc-020
rc-009,leads_from,rc-021
rc-009,triggers,rf-012
rc-018,triggers,rf-006
rc-008,leads_from,rc-020
rc-008,triggers,rf-012
rc-008,leads_to,rc-015
rc-028,triggers,rf-003
rc-038,triggers,rf-010
rc-038,triggers,rf-011
rc-025,triggers,rf-005
rc-040,triggers,rf-011
rc-011,triggers,rf-003
rc-001,triggers,rf-008
rc-035,leads_from,rc-201
rc-035,triggers,rf-001
rc-035,leads_to,rc-202
rc-015,leads_from,rc-021
rc-015,leads_from,rc-008
rc-015,triggers,rf-012
rc-021,leads_to,rc-009
rc-021,leads_to,rc-015
rc-021,leads_to,rc-026
rc-021,leads_to,rc-027
rc-031,triggers,rf-012
rc-005,leads_from,rc-020
rc-005,triggers,rf-012
rc-014,leads_from,rc-013
rc-014,triggers,rf-012
rc-020,triggers,rf-012
rc-020,triggers,rf-002
rc-020,leads_to,rc-005
rc-020,leads_to,rc-010
rc-020,leads_to,rc-009
rc-020,leads_to,rc-008
rc-020,leads_to,rc-026
rc-030,triggers,rf-006
rc-004,triggers,rf-001
rc-024,triggers,rf-004
rc-024,triggers,rf-007
rc-041,leads_from,rc-020
rc-041,leads_from,rc-021
rc-041,triggers,rf-002
rc-010,leads_from,rc-020
rc-010,triggers,rf-012
rc-034,triggers,rf-012
rf-010,observed_in_phase,G
rf-010,triggered_by,rc-036
rf-010,triggered_by,rc-037
rf-010,triggered_by,rc-038
rf-010,triggered_by,rc-039
rf-010,threatens,sc-002
rf-004,observed_in_phase,G
rf-004,observed_in_phase,H
rf-004,triggered_by,rc-023
rf-004,triggered_by,rc-024
rf-004,threatens,sc-006
rf-005,observed_in_phase,G
rf-005,observed_in_phase,H
rf-005,triggered_by,rc-025
rf-005,triggered_by,rc-002
rf-005,triggered_by,rc-029
rf-005,threatens,sc-006
rf-011,observed_in_phase,G
rf-011,triggered_by,rc-036
rf-011,triggered_by,rc-037
rf-011,triggered_by,rc-038
rf-011,triggered_by,rc-039
rf-011,triggered_by,rc-040
rf-011,threatens,sc-003
rf-001,observed_in_phase,G
rf-001,triggers,rf-012
rf-001,triggered_by,rc-006
rf-001,triggered_by,rc-004
rf-001,triggered_by,rc-022
rf-001,threatens,sc-004
rf-008,observed_in_phase,H
rf-008,triggered_by,rc-016
rf-008,triggered_by,rc-001
rf-008,triggered_by,rc-002
rf-008,threatens,sc-007
rf-009,observed_in_phase,G
rf-009,observed_in_phase,H
rf-009,triggered_by,rc-032
rf-009,triggered_by,rc-033
rf-009,threatens,sc-001
rf-006,observed_in_phase,G
rf-006,observed_in_phase,H
rf-006,triggered_by,rc-019
rf-006,triggered_by,rc-030
rf-006,triggered_by,rc-018
rf-006,threatens,sc-006
rf-012,observed_in_phase,G
rf-012,triggered_by,rc-006
rf-012,triggered_by,rc-034
rf-012,triggered_by,rc-008
rf-012,triggered_by,rc-005
rf-012,triggered_by,rc-010
rf-012,triggered_by,rc-031
rf-012,triggered_by,rc-007
rf-012,triggered_by,rc-009
rf-012,triggered_by,rc-015
rf-012,triggered_by,rc-020
rf-012,triggered_by,rc-014
rf-012,triggers,rf-001
rf-002,observed_in_phase,G
rf-002,triggered_by,rc-013
rf-002,triggered_by,rc-020
rf-002,triggered_by,rc-027
rf-002,threatens,sc-004
rf-003,observed_in_phase,G
rf-003,triggered_by,rc-028
rf-003,triggered_by,rc-012
rf-003,triggered_by,rc-017
rf-003,triggered_by,rc-011
rf-003,threatens,sc-005
rf-007,observed_in_phase,G
rf-007,observed_in_phase,H
rf-007,triggered_by,rc-003
rf-007,triggered_by,rc-024
rf-007,threatens,sc-006
sc-006,threatened_by,rf-004
sc-006,threatened_by,rf-007
sc-006,threatened_by,rf-005
sc-006,threatened_by,rf-006
sc-002,threatened_by,rf-010
sc-003,threatened_by,rf-011
sc-007,threatened_by,rf-008
sc-004,threatened_by,rf-001
sc-004,threatened_by,rf-002
sc-005,threatened_by,rf-003
sc-001,threatened_by,rf-009
